ContentKey,Prey_OS_ID,PreyWt,Prey_Count,OS_ID,Length,Trawl_ID,Year,Start Depth,End Depth,Study Area,Scientific Name,CommonName,Start Lat Degree,Start Lat Minutes,Start Long Degree,Start Long Minutes,FishKey
62114003_892_3_1_-14_1733,6967,0.3,,892,24.5,62114003,2019,269,271,2G,REINHARDTIUS HIPPOGLOSSOIDES,"GREENLAND HALIBUT, TURBOT",57,45.1041,60,24.1561,62114003_892_3_1_-14
62114003_892_3_1_-15_1732,9998,,,892,20,62114003,2019,269,271,2G,REINHARDTIUS HIPPOGLOSSOIDES,"GREENLAND HALIBUT, TURBOT",57,45.1041,60,24.1561,62114003_892_3_1_-15
62114003_892_3_1_-16_1728,6967,0.286,,892,20,62114003,2019,269,271,2G,REINHARDTIUS HIPPOGLOSSOIDES,"GREENLAND HALIBUT, TURBOT",57,45.1041,60,24.1561,62114003_892_3_1_-16
62114003_892_3_1_-17_1729,6967,0.091,,892,20.5,62114003,2019,269,271,2G,REINHARDTIUS HIPPOGLOSSOIDES,"GREENLAND HALIBUT, TURBOT",57,45.1041,60,24.1561,62114003_892_3_1_-17
62114003_892_3_1_-18_1731,6967,0.079,,892,17,62114003,2019,269,271,2G,REINHARDTIUS HIPPOGLOSSOIDES,"GREENLAND HALIBUT, TURBOT",57,45.1041,60,24.1561,62114003_892_3_1_-18
62114003_892_3_1_-19_1730,6967,0.076,,892,14,62114003,2019,269,271,2G,REINHARDTIUS HIPPOGLOSSOIDES,"GREENLAND HALIBUT, TURBOT",57,45.1041,60,24.1561,62114003_892_3_1_-19
62114003_892_3_1_-3_1740,8020,3.196,,892,37.5,62114003,2019,269,271,2G,REINHARDTIUS HIPPOGLOSSOIDES,"GREENLAND HALIBUT, TURBOT",57,45.1041,60,24.1561,62114003_892_3_1_-3
62114003_892_3_1_1003_1741,8020,1.769,,892,27,62114003,2019,269,271,2G,REINHARDTIUS HIPPOGLOSSOIDES,"GREENLAND HALIBUT, TURBOT",57,45.1041,60,24.1561,62114003_892_3_1_1003
62114003_892_3_1_1003_1742,4950,0.455,,892,27,62114003,2019,269,271,2G,REINHARDTIUS HIPPOGLOSSOIDES,"GREENLAND HALIBUT, TURBOT",57,45.1041,60,24.1561,62114003_892_3_1_1003
62114003_892_3_1_1004_1743,8530,1.019,,892,33,62114003,2019,269,271,2G,REINHARDTIUS HIPPOGLOSSOIDES,"GREENLAND HALIBUT, TURBOT",57,45.1041,60,24.1561,62114003_892_3_1_1004
62114003_892_3_1_1004_1744,8290,0.661,,892,33,62114003,2019,269,271,2G,REINHARDTIUS HIPPOGLOSSOIDES,"GREENLAND HALIBUT, TURBOT",57,45.1041,60,24.1561,62114003_892_3_1_1004
62114003_892_3_1_-6_1752,8020,7.452,,892,33.5,62114003,2019,269,271,2G,REINHARDTIUS HIPPOGLOSSOIDES,"GREENLAND HALIBUT, TURBOT",57,45.1041,60,24.1561,62114003_892_3_1_-6
62114003_892_3_1_-7_1750,8112,6.115,1,892,34.5,62114003,2019,269,271,2G,REINHARDTIUS HIPPOGLOSSOIDES,"GREENLAND HALIBUT, TURBOT",57,45.1041,60,24.1561,62114003_892_3_1_-7
62114003_892_3_1_-8_1751,8112,3.235,1,892,33,62114003,2019,269,271,2G,REINHARDTIUS HIPPOGLOSSOIDES,"GREENLAND HALIBUT, TURBOT",57,45.1041,60,24.1561,62114003_892_3_1_-8
62114003_892_3_1_-9_1739,8112,2.69,1,892,27,62114003,2019,269,271,2G,REINHARDTIUS HIPPOGLOSSOIDES,"GREENLAND HALIBUT, TURBOT",57,45.1041,60,24.1561,62114003_892_3_1_-9
62114003_892_3_1_-10_1745,999,0.143,,892,29.3,62114003,2019,269,271,2G,REINHARDTIUS HIPPOGLOSSOIDES,"GREENLAND HALIBUT, TURBOT",57,45.1041,60,24.1561,62114003_892_3_1_-10
62114003_892_3_1_-10_1746,999,0,,892,29.3,62114003,2019,269,271,2G,REINHARDTIUS HIPPOGLOSSOIDES,"GREENLAND HALIBUT, TURBOT",57,45.1041,60,24.1561,62114003_892_3_1_-10
62114003_892_3_1_-10_1747,999,0,,892,29.3,62114003,2019,269,271,2G,REINHARDTIUS HIPPOGLOSSOIDES,"GREENLAND HALIBUT, TURBOT",57,45.1041,60,24.1561,62114003_892_3_1_-10
62114003_892_3_1_-10_1748,8020,1.476,,892,29.3,62114003,2019,269,271,2G,REINHARDTIUS HIPPOGLOSSOIDES,"GREENLAND HALIBUT, TURBOT",57,45.1041,60,24.1561,62114003_892_3_1_-10
62114003_892_3_1_-10_1749,10763,2.786,1,892,29.3,62114003,2019,269,271,2G,REINHARDTIUS HIPPOGLOSSOIDES,"GREENLAND HALIBUT, TURBOT",57,45.1041,60,24.1561,62114003_892_3_1_-10
62114003_892_3_1_-11_1736,6967,0.009,,892,26.5,62114003,2019,269,271,2G,REINHARDTIUS HIPPOGLOSSOIDES,"GREENLAND HALIBUT, TURBOT",57,45.1041,60,24.1561,62114003_892_3_1_-11
62114003_892_3_1_-11_1737,8112,2.972,1,892,26.5,62114003,2019,269,271,2G,REINHARDTIUS HIPPOGLOSSOIDES,"GREENLAND HALIBUT, TURBOT",57,45.1041,60,24.1561,62114003_892_3_1_-11
62114003_892_3_1_-11_1738,8112,2.185,1,892,26.5,62114003,2019,269,271,2G,REINHARDTIUS HIPPOGLOSSOIDES,"GREENLAND HALIBUT, TURBOT",57,45.1041,60,24.1561,62114003_892_3_1_-11
62114003_892_3_1_-12_1735,6967,0.025,1,892,21.2,62114003,2019,269,271,2G,REINHARDTIUS HIPPOGLOSSOIDES,"GREENLAND HALIBUT, TURBOT",57,45.1041,60,24.1561,62114003_892_3_1_-12
62114003_892_3_1_-13_1734,6000,0.632,,892,25,62114003,2019,269,271,2G,REINHARDTIUS HIPPOGLOSSOIDES,"GREENLAND HALIBUT, TURBOT",57,45.1041,60,24.1561,62114003_892_3_1_-13
62114004_95_3_1_-36_1553,6000,4.398,,95,45.5,62114004,2019,290,289,2G,RAJA HYPERBOREA = AMBLYRAJA HYPERBOREA,ARCTIC SKATE,57,48.3727,60,23.5588,62114004_95_3_1_-36
62114004_95_3_1_-36_1554,8093,1.131,,95,45.5,62114004,2019,290,289,2G,RAJA HYPERBOREA = AMBLYRAJA HYPERBOREA,ARCTIC SKATE,57,48.3727,60,23.5588,62114004_95_3_1_-36
